method,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,train_time_sec
LR L2 (HVG),0.9318181818181818,0.8899638999545626,0.9301159895110088,0.9440009801745591,0.8516521895829281,0.14
LR L2 (PCA),0.946969696969697,0.9478286803321714,0.9473942414294917,0.9460050028311144,0.9520107295600544,0.04
LR L1 (HVG),0.9393939393939394,0.8922079324963643,0.9383317887521304,0.9292477818417585,0.8652576437381075,6.06
RF (HVG),0.9185606060606061,0.8651775506119881,0.9145244474535743,0.9491859500239577,0.8117840712111253,1.69
RF (PCA),0.9431818181818182,0.9008315938557896,0.9414922420881027,0.9514538280868703,0.8662029706145735,0.65
Deep Learning (MLP),0.9034090909090909,0.8053841618084415,0.9037515489840301,0.9099632834176271,0.7745813583597734,3.63
