method,n_clusters,ARI,NMI,silhouette
K-means (k=8),8,0.8977093126884984,0.8838121913297387,0.14072154462337494
Leiden (res=0.1),4,0.5850049268545239,0.7248911226437865,
Leiden (res=0.2),5,0.7019644589161254,0.7997272646867347,
Leiden (res=0.3),5,0.8534251814916314,0.8455233074656451,
Leiden (res=0.5),6,0.8659964157187077,0.8594679911521171,
Leiden (res=0.8),8,0.9401887628615784,0.9140664721793521,
Leiden (res=1.0),8,0.9228248282460317,0.8993247222363522,
Leiden (res=1.5),13,0.443232716105521,0.7275910838135661,
Leiden (res=2.0),20,0.3522613664510891,0.6613026022077954,
